Date;Minuti_Fuori_SLA;Minuti_Totali
2024-12-01;2;1440
2024-12-02;9;1439
2024-12-03;8;1440
2024-12-04;10;1440
2024-12-05;6;1440
2024-12-06;6;1440
2024-12-07;0;1440
2024-12-08;1;1440
2024-12-09;20;1440
2024-12-10;13;1440
2024-12-11;6;1440
2024-12-12;8;1440
2024-12-13;13;1440
2024-12-14;0;1440
2024-12-15;1;1440
2024-12-16;14;1440
2024-12-17;9;1440
2024-12-18;9;1440
2024-12-19;11;1440
2024-12-20;14;1440
2024-12-21;4;1440
2024-12-22;1;1440
2024-12-23;15;1440
2024-12-24;5;1440
2024-12-25;0;1440
2024-12-26;2;1440
2024-12-27;14;1440
2024-12-28;0;1440
2024-12-29;1;1440
2024-12-30;9;1440
2024-12-31;7;1440
